ID,day,waitingtime,line,drinks,cost,number
10001,1,23,에스프레소!,espresso,1500,1
10002,1,23,에스프레소 주세요. 아이스로,ice_espresso,1500,1
10003,1,23,뜨.아 주세요,americano,1500,1
10004,1,23,아메리카노 아이스로 가져갈게요,ice_americano,2000,1
10005,2,23,라떼 주세요,caffelatte,2000,1
10006,2,23,아. 카. 라. 주세요,ice_caffelatte,2500,1
10007,3,23,달달한 아메리카노 주세요,sweet_americano,2000,1
10008,3,23,달달하고 시원한 아메리카노 주세요,sweet_ice_americano,2500,1
10009,3,23,달달한 카페라떼 주세요,sweet_caffelatte,2500,1
10010,18,23,달달하고 시원한 카페라떼 있나요?,sweet_ice_caffelatte,3000,1
10011,4,23,바닐라 라떼 아이스로,ice_vanila_latte,2500,1
10012,4,23,바닐라 라떼 아주 뜨겁게 줘요,vanilla_latte,3000,1
10013,4,23,아메리카노에 헤이즐넛 시럽 넣어주세요,hazelnut_americano,2000,1
10014,4,23,아메리카노에 헤이즐넛 시럽이랑 얼음 넣어주세요,ice_hazelnut_americano,2500,1
10015,5,23,카.라.주세요,caffelatte,2000,1
10016,5,23,아.바.라 뭔지 아시죠?,ice_vanila_latte,2500,1
10017,5,23,영화제 가면 자주 먹어요. 에스프레소.,espresso,1500,1
10018,5,23,저는 카페가 좋아요. 라떼도 좋아요.,caffelatte,2000,1
10019,6,23,밀크 초코 있나요?,milk_choco,2000,1
10020,6,23,아이스 밀크 초코로 주세요,ice_milk_chocho,3500,1
10021,7,23,초코 라떼로 부탁드려요,choco_latte,3000,1
10022,7,23,아이스 초코 라떼 줘,ice_choco_latte,3500,1
10023,8,23,아보카도 있나요?,affogato,3000,1
10024,8,23,아보카도 같은 아포가토 있나요?,affogato,3000,1
10025,9,23,밀크 쉐이크 주세요.,milk_shake,3000,1
10026,10,23,"우유, 아이스크림을 섞은 것 주세요",milk_shake,3000,1
10027,10,23,아이스크림 라떼 주세요,icecream_latte,3500,1
10028,11,23,바나나 알러지 원숭이,banana_milk,2500,1
10029,12,23,바나나 밀크 라떼 주세요,banana_milk_latte,2500,1
10030,12,23,바나나 밀크 라떼 차갑게,ice_banana_milk_latte,3000,1
10031,13,23,쉐이크에 바나나를 넣으면 어떨까요?,banana_shake,3500,1
10032,13,23,바나나 쉐이크 한 잔 주세요.,banana_shake,3500,1
10033,14,23,"아침엔 상큼한 게 먹고 싶어요. 주스, 아이스로 주세요.",ice_morning_juice,2500,1
10034,14,23,아침엔 상큼한 게 먹고 싶어요. 주스로 주세요.,morning_juice,2000,1
10035,15,23,헤이즐넛 향이 나는 아메리카노도 있나요?,hazelnut_americano,2000,1
10036,15,23,아바라 한 잔 줘,ice_vanila_latte,3000,1
10037,16,23,사과 쉐이크 주세요,apple_shake,3500,1
10038,17,23,꿀아메 주세요!,honey_americano,2000,1
10039,17,23,아이스 꿀아메 주세요!,ice_honey_americano,2500,1
10040,18,23,허니 밀크는 무슨 맛일까요?,honey_milk,2500,1
